Token,IOB2
The,O
Top,O
50,O
Nonbasic,O
Lands,O
",",O
has,O
it,O
been,O
two,O
weeks,O
already,O
since,O
my,O
last,O
article,O
?,O
Now,O
we,O
've,O
gone,O
from,O
Card,O
Drawing,O
to,O
Nonbasic,O
Land,O
Week,O
here,O
at,O
MagicTheGathering.com,O
",",O
and,O
let,O
me,O
tell,O
you,O
I,O
could,O
n't,O
be,O
happier,O
about,O
it,O
!,O
After,O
all,O
",",O
one,O
of,O
my,O
favorite,O
card,O
types,O
in,O
Magic,O
is,O
land,O
",",O
along,O
with,O
sorcery,O
",",O
instant,O
",",O
creature,O
",",O
artifact,O
",",O
interrupt,O
",",O
and,O
enchantment,O
.,O
But,O
seriously,O
",",O
you,O
could,O
n't,O
have,O
the,O
game,O
of,O
Magic,O
without,O
the,O
lands,O
",",O
could,O
you,O
?,O
They,O
give,O
you,O
mana,O
every,O
turn…,O
or,O
they,O
do,O
n't,O
.,O
They,O
tap,O
for,O
cool,O
effects…,O
except,O
some,O
tap,O
only,O
for,O
mana,O
.,O
You,O
can,O
only,O
play,O
one,O
a,O
turn…,O
ok,O
",",O
that,O
one,O
sticks,O
give,O
or,O
take,O
Fastbond,B-ENCHANTMENT
and,O
its,O
ilk,O
.,O
For,O
this,O
top,O
fifty,O
list,O
",",O
we,O
're,O
going,O
to,O
do,O
things,O
a,O
little,O
differently,O
.,O
So,O
listen,O
up,O
",",O
as,O
I,O
lay,O
out,O
the,O
golden,O
rules,O
of,O
Ben,O
's,O
Top,O
50,O
Nonbasic,O
Lands,O
of,O
All,O
Time,O
!,O
In,O
addition,O
",",O
you,O
may,O
notice,O
that,O
Bazaar,B-LAND
of,I-LAND
Baghdad,I-LAND
finished,O
higher,O
than,O
Cephalid,B-LAND
Coliseum,I-LAND
",",O
when,O
they,O
had,O
reversed,O
positions,O
during,O
Card,O
Drawing,O
Week,O
.,O
Well,O
",",O
that,O
's,O
because,O
I,O
've,O
had,O
a,O
minor,O
change,O
of,O
opinion,O
about,O
the,O
two,O
",",O
thanks,O
to,O
all,O
the,O
wonderful,O
feedback,O
I,O
've,O
gotten,O
from,O
people,O
.,O
Special,O
bonus,O
section,O
!,O
Here,O
are,O
the,O
lands,O
which,O
were,O
in,O
contention,O
for,O
the,O
top,O
fifty,O
",",O
but,O
just,O
missed,O
making,O
the,O
cut,O
:,O
Not,O
on,O
list,O
",",O
but,O
in,O
consideration,O
:,O
Planeshift,O
Dragon,O
Lairs,O
(,O
Rith,B-LAND
's,I-LAND
Grove,I-LAND
",",O
etc,O
.,O
),O
",",O
Urza,O
's,O
Saga,O
original,O
cycling,O
lands,O
(,O
Slippery,B-LAND
Karst,I-LAND
",",O
etc,O
.,O
),O
",",O
Kor,B-LAND
Haven,I-LAND
",",O
Krosan,B-LAND
Verge,I-LAND
",",O
Torment,O
Tainted,O
lands,O
(,O
Tainted,B-LAND
Field,I-LAND
",",O
etc,O
.,O
),O
",",O
Tarnished,B-LAND
Citadel,I-LAND
",",O
Mercadian,O
Masques,O
counter,O
lands,O
(,O
Peat,B-LAND
Bog,I-LAND
",",O
etc,O
.,O
),O
",",O
Thran,B-LAND
Quarry,I-LAND
",",O
Fallen,O
Empires,O
sac,O
lands,O
(,O
Svyelunite,B-LAND
Temple,I-LAND
",",O
etc,O
.,O
),O
",",O
Elephant,B-LAND
Graveyard,I-LAND
",",O
Island,B-LAND
of,I-LAND
Wak-Wak,I-LAND
",",O
Safe,B-LAND
Haven,I-LAND
",",O
City,B-LAND
of,I-LAND
Traitors,I-LAND
",",O
Crystal,B-LAND
Vein,I-LAND
",",O
Ice,B-LAND
Floe,I-LAND
",",O
Land,B-LAND
Cap,I-LAND
",",O
Winding,B-LAND
Canyons,I-LAND
",",O
and,O
Lotus,B-LAND
Vale,I-LAND
.,O
I,O
know,O
I,O
'm,O
going,O
to,O
get,O
a,O
lot,O
of,O
mail,O
about,O
Lotus,B-LAND
Vale,I-LAND
",",O
so,O
let,O
me,O
preempt,O
those,O
letters,O
:,O
Lotus,B-LAND
Vale,I-LAND
would,O
have,O
been,O
playable,O
if,O
it,O
was,O
n't,O
in,O
the,O
same,O
environment,O
as,O
Wasteland,B-LAND
",",O
Capsize,B-INSTANT
",",O
and,O
massive,O
amounts,O
of,O
land,O
destruction,O
.,O
