Token,IOB2
Last,O
updated,O
on,O
April,O
16,O
",",O
2026,O
Ugin,B-PLANESWALKER
",",I-PLANESWALKER
the,I-PLANESWALKER
Spirit,I-PLANESWALKER
Dragon,I-PLANESWALKER
Illustration,O
by,O
Raymond,O
Swanland,O
Magic,O
was,O
founded,O
on,O
the,O
premise,O
that,O
you,O
and,O
your,O
opponent,O
are,O
powerful,O
dueling,O
planeswalkers,O
",",O
engaged,O
in,O
glorious,O
magical,O
combat,O
",",O
slinging,O
spells,O
and,O
summoning,O
creatures,O
to,O
aid,O
in,O
your,O
struggle,O
.,O
The,O
continuity,O
got,O
a,O
little,O
muddled,O
when,O
planeswalkers,O
were,O
introduced,O
as,O
a,O
new,O
card,O
type,O
in,O
2007,O
.,O
Like…,O
wasn,O
’,O
t,O
I,O
supposed,O
to,O
be,O
the,O
planeswalker,O
?,O
Why,O
are,O
these,O
dragons,O
with,O
funny,O
horns,O
and,O
this,O
cat-man-thing,O
here,O
?,O
Then,O
the,O
planeswalker,O
card,O
type,O
peaked,O
in,O
War,O
of,O
the,O
Spark,O
(,O
WAR,O
),O
",",O
which,O
featured,O
36,O
total,O
‘,O
walkers,O
",",O
each,O
with,O
the,O
new,O
“,O
static,O
ability,O
”,O
technology,O
we,O
’,O
d,O
see,O
on,O
pretty,O
much,O
every,O
planeswalker,O
moving,O
forward,O
.,O
Because,O
they,O
weren,O
’,O
t,O
complex,O
enough,O
.,O
There,O
are,O
more,O
than,O
300,O
of,O
these,O
sparked-up,O
teleporting,O
super,O
troopers,O
",",O
so,O
let,O
’,O
s,O
do,O
what,O
Nicol,O
Bolas,O
did,O
to,O
Dack,O
and,O
Domri,O
and,O
thin,O
the,O
ranks,O
a,O
bit,O
.,O
Too,O
soon,O
?,O
What,O
Are,O
Planeswalkers,O
in,O
MTG,O
?,O
Nicol,B-PLANESWALKER
Bolas,I-PLANESWALKER
",",I-PLANESWALKER
Planeswalker,I-PLANESWALKER
(,O
Conflux,O
),O
Illustration,O
by,O
D.,O
Alexander,O
Gregory,O
Planeswalker,O
is,O
a,O
permanent,O
card,O
type,O
in,O
