Token,IOB2
Last,O
updated,O
on,O
April,O
8,O
",",O
2026,O
Toxic,B-SORCERY
Deluge,I-SORCERY
Illustration,O
by,O
Svetlin,O
Velinov,O
A,O
ranking,O
of,O
a,O
fundamental,O
part,O
of,O
Magic,O
?,O
What,O
kind,O
of,O
sorcery,O
is,O
this,O
?,O
Sorceries,O
have,O
been,O
in,O
the,O
game,O
since,O
Alpha,O
and,O
are,O
foundational,O
to,O
Magic,O
.,O
The,O
entire,O
game,O
revolves,O
around,O
sorcery-,O
versus,O
instant-speed,O
interactions,O
",",O
which,O
all,O
stems,O
from,O
the,O
name,O
of,O
one,O
of,O
MTG,O
’,O
s,O
six,O
original,O
card,O
types,O
.,O
There,O
’,O
s,O
over,O
multiple,O
thousands,O
of,O
sorceries,O
printed,O
across,O
Magic,O
’,O
s,O
history,O
when,O
you,O
account,O
for,O
MDFCs,O
",",O
adventure,O
cards,O
",",O
and,O
digital-only,O
Alchemycards,O
on,O
MTG,O
Arena,O
.,O
That,O
’,O
s,O
a,O
lot,O
to,O
narrow,O
down,O
",",O
but,O
we,O
’,O
re,O
up,O
to,O
the,O
task,O
!,O
Make,O
sure,O
it,O
’,O
s,O
your,O
main,O
phase,O
and,O
the,O
stack,O
is,O
empty,O
",",O
because,O
it,O
’,O
s,O
time,O
to,O
talk,O
sorceries,O
.,O
What,O
Are,O
Sorceries,O
in,O
MTG,O
?,O
Rise,B-SORCERY
of,I-SORCERY
the,I-SORCERY
Dark,I-SORCERY
Realms,I-SORCERY
Illustration,O
by,O
Michael,O
Komarck,O
Sorcery,O
is,O
one,O
of,O
the,O
primary,O
card,O
types,O
in,O
Magic,O
.,O
It,O
appears,O
in,O
the,O
type,O
line,O
and,O
refers,O
to,O
a,O
spell,O
that,O
goes,O
to,O
the,O
graveyard,O
after,O
resolution,O
.,O
Flavor-wise,O
",",O
they,O
’,O
re,O
supposed,O
to,O
be,O
the,O
actual,O
spells,O
cast,O
by,O
planeswalkers,O
",",O
though,O
some,O
suspension,O
of,O
belief,O
is,O
required,O
.,O
Sorceries,O
are,O
notable,O
for,O
their,O
timing,O
